st,sex,age,marst,gedu_lvl,tedu_lvl,curr_att,sas,ind_sas,ocu_sas,wrk_365,evr_wrk,ern_reg,ern_self,tothrs_wrk,totadl_wrk,dur_unp,eff_pas,voc,voc_fld,voc_typ
09,2,48,2,01,01,,,,,1,,0,2500,36,0,,,3,,
09,1,27,2,08,01,16,,,,1,,0,0,0,0,,,6,,
20,1,5,1,01,01,23,,,,,2,0,0,0,0,,,,,
09,1,80,3,10,01,,,,,,1,0,0,0,0,,,,,
09,2,1,1,01,01,05,,,,,,0,0,0,0,,,,,
23,2,19,1,10,01,31,,,,,2,0,0,0,0,,,6,,
12,1,44,2,06,01,12,,,,1,,0,16500,39,0,,,6,,
09,1,31,2,07,01,,,,,1,,0,0,28,0,,,6,,
10,1,2,1,01,01,05,,,,,,0,0,0,0,,,,,
09,2,26,2,01,01,14,,,,,2,0,0,0,0,,,6,,
27,1,58,2,01,01,02,,,,1,,0,10000,24,0,,,6,,
19,2,32,2,06,01,,,,,,2,0,0,0,0,,,6,,
08,1,68,2,01,01,,,,,,1,0,0,0,0,,,,,
33,2,13,1,06,01,25,,,,,2,0,0,0,0,,,6,,
23,2,26,1,12,03,15,,,,,2,0,0,0,0,5,1,1,13,2
09,1,39,2,08,01,,,,,1,,0,0,0,0,,,3,,
09,1,27,1,08,01,13,,,,1,,0,0,49,0,,,6,,
09,1,16,1,06,01,25,,,,,2,0,0,0,0,,,6,,
09,1,7,1,05,01,24,,,,,2,0,0,0,0,,,,,
05,1,64,2,05,01,,,,,1,,0,9000,84,0,,,,,
22,2,50,2,01,01,03,,,,,2,0,0,0,0,,,6,,
09,1,0,1,01,01,05,,,,,,0,0,0,0,,,,,
10,2,18,1,10,01,31,,,,,2,0,0,0,0,,,6,,
24,2,22,2,07,01,14,,,,,2,0,0,0,0,,,6,,
23,2,65,3,01,01,,,,,,1,0,0,0,0,,,,,
21,2,3,1,01,01,05,,,,,,0,0,0,0,,,,,
27,2,14,1,07,01,26,,,,,2,0,0,0,0,,,6,,
08,2,40,2,05,01,16,,,,1,,0,5000,30,0,,,6,,
29,1,1,1,01,01,05,,,,,,0,0,0,0,,,,,
09,2,12,1,05,01,24,,,,,2,0,0,0,0,,,6,,
09,2,45,2,07,01,,,,,,2,0,0,0,0,,,6,,
33,2,6,1,05,01,24,,,,,2,0,0,0,0,,,,,
03,2,50,3,01,01,01,,,,1,,3000,0,36,0,,,6,,
19,1,54,2,08,01,12,11,01124,611,1,,0,14500,52,0,,,5,,
23,1,15,1,06,01,25,,,,,2,0,0,0,0,,,6,,
29,1,26,1,10,01,12,,,,1,,18000,0,47,0,,,4,,
28,2,19,1,10,01,31,,,,,2,0,0,0,0,,,6,,
09,2,28,2,12,01,14,,,,,2,0,0,0,0,,,6,,
18,1,28,1,12,01,12,,,,1,,34500,0,46,0,,,6,,
09,1,5,1,01,01,24,,,,,2,0,0,0,0,,,,,
36,1,16,1,08,01,27,,,,,2,0,0,0,0,,,6,,
18,2,12,1,06,01,25,,,,,2,0,0,0,0,,,6,,
09,1,34,2,06,01,,51,01111,931,1,,0,5000,41,0,,,2,,
23,1,35,2,08,01,,,,,1,,0,19500,60,0,,,6,,
08,2,24,2,08,01,27,,,,,2,0,0,0,0,,,6,,
33,1,42,2,07,01,12,,,,1,,0,0,49,0,,,4,,
09,1,4,1,01,01,05,,,,,,0,0,0,0,,,,,
07,1,10,1,05,01,24,,,,,2,0,0,0,0,,,,,
22,1,15,1,07,01,26,,,,,2,0,0,0,0,,,6,,
27,2,28,2,06,01,16,,,,,1,0,0,0,0,,,6,,
27,2,6,1,01,01,24,,,,,2,0,0,0,0,,,,,
27,2,82,3,08,01,,,,,,1,0,0,0,0,,,,,
21,2,42,2,01,01,,21,01124,611,1,,0,0,15,0,,,6,,
18,2,28,2,07,01,14,,,,1,,0,7000,18,6,,,2,,
32,2,0,1,01,01,05,,,,,,0,0,0,0,,,,,
33,2,8,1,05,01,24,,,,,2,0,0,0,0,,,,,
03,1,47,2,01,01,12,,,,1,,0,6000,24,0,,,6,,
03,1,5,1,01,01,23,,,,,2,0,0,0,0,,,,,
02,2,38,2,08,01,,21,01500,633,1,,3000,0,36,0,,,4,,
10,2,18,1,08,01,27,,,,,2,0,0,0,0,,,6,,
19,2,25,2,10,01,14,,,,1,,0,4100,32,0,,,2,,
28,2,12,1,06,01,25,,,,,2,0,0,0,0,,,6,,
08,1,52,2,01,01,03,,,,1,,12000,0,70,0,,,4,,
36,2,39,2,06,01,,,,,1,,0,0,30,0,,,6,,
23,2,42,2,07,01,,11,14105,753,1,,0,2200,7,0,,,3,,
21,2,58,3,01,01,03,11,01124,611,1,,0,19400,46,0,,,2,,
24,1,50,2,06,01,,,,,1,,0,20000,58,0,,,3,,
02,2,35,2,13,01,,,,,,2,0,0,0,0,5,2,2,,
24,2,31,2,06,01,,,,,,2,0,0,0,0,,,6,,
28,1,46,2,05,01,,21,01412,612,1,,0,14800,43,0,,,6,,
10,1,1,1,01,01,05,,,,,,0,0,0,0,,,,,
22,1,67,2,07,01,,,,,,1,0,0,0,0,,,,,
09,2,14,1,06,01,25,,,,,2,0,0,0,0,,,6,,
09,2,50,2,07,01,14,,,,1,,4000,0,0,0,,,6,,
22,2,60,3,06,01,,,,,1,,0,4550,0,0,,,,,
08,1,22,1,10,01,12,,,,,2,0,0,0,0,,,6,,
05,1,13,1,07,01,26,,,,,2,0,0,0,0,,,6,,
29,2,2,1,01,01,05,,,,,,0,0,0,0,,,,,
10,1,3,1,01,01,05,,,,,,0,0,0,0,,,,,
27,2,56,3,01,01,,,,,,2,0,0,0,0,,,6,,
29,1,38,2,05,01,,,,,1,,0,0,56,0,,,6,,
16,1,8,1,05,01,24,,,,,2,0,0,0,0,,,,,
10,2,70,3,01,01,,,,,,2,0,0,0,0,,,,,
03,2,52,3,06,01,16,,,,,2,0,0,0,0,,,6,,
07,2,12,1,06,01,25,,,,,2,0,0,0,0,,,6,,
08,1,15,1,06,01,25,,,,,2,0,0,0,0,,,6,,
09,1,19,1,08,01,27,,,,,2,0,0,0,0,,,6,,
20,2,57,2,05,01,14,,,,,1,0,0,0,0,,,2,,
29,1,54,2,13,04,,,,,1,,72000,0,38,0,,,4,,
23,1,18,1,07,01,12,,,,2,,13000,0,54,0,,,6,,
10,2,18,1,08,01,14,,,,,2,0,0,0,0,,,6,,
23,1,45,2,07,01,,,,,1,,0,40000,46,0,,,2,,
23,2,50,2,01,01,01,51,01124,921,1,,0,0,46,0,,,2,,
08,2,33,2,07,01,,,,,,1,0,0,0,0,,,6,,
24,2,18,1,08,01,27,,,,,2,0,0,0,0,,,6,,
27,2,58,2,05,01,12,,,,1,,0,0,0,0,,,6,,
23,1,39,2,08,01,12,,,,1,,0,0,0,0,,,6,,
22,1,7,1,05,01,24,,,,,2,0,0,0,0,,,,,
23,1,58,2,06,01,,,,,1,,20000,0,48,0,,,6,,
09,1,38,2,13,01,12,,,,,1,0,0,0,0,2,1,4,,
21,1,52,2,05,01,,,,,1,,0,14000,60,10,,,6,,
33,1,44,2,08,01,12,,,,1,,15000,0,48,0,,,4,,
21,2,46,3,07,01,14,,,,,2,0,0,0,0,,,6,,
09,2,43,2,08,01,14,,,,,2,0,0,0,0,,,6,,
36,1,40,2,10,01,12,41,42101,931,1,,0,34200,33,0,,,2,,
08,2,47,2,01,01,05,,,,,1,0,0,0,0,,,3,,
10,1,35,2,12,01,12,,,,1,,42000,0,48,0,,,6,,
03,2,75,3,06,01,,,,,,1,0,0,0,0,,,,,
24,1,20,1,10,01,31,,,,,2,0,0,0,0,,,6,,
18,2,10,1,05,01,24,,,,,2,0,0,0,0,,,,,
13,1,46,2,06,01,,,,,1,,0,7000,42,0,,,6,,
12,1,68,3,01,01,,,,,,1,0,0,0,0,,,,,
28,2,20,1,10,01,31,,,,,2,0,0,0,0,,,6,,
10,2,13,1,07,01,26,,,,,2,0,0,0,0,,,6,,
10,2,55,2,01,01,,,,,,2,0,0,0,0,,,6,,
10,1,25,2,10,01,12,,,,1,,0,0,24,0,,,6,,
19,2,24,2,06,01,14,,,,,2,0,0,0,0,,,6,,
10,2,18,1,08,01,27,,,,,2,0,0,0,0,,,6,,
36,2,22,2,08,01,14,,,,,2,0,0,0,0,,,6,,
10,2,31,2,10,01,14,,,,,2,0,0,0,0,,,6,,
01,2,7,1,05,01,24,,,,,2,0,0,0,0,,,,,
24,2,52,2,01,01,,,,,1,,0,0,56,0,,,6,,
09,2,25,2,10,01,16,,,,,2,0,0,0,0,,,6,,
09,1,29,1,10,01,12,,,,1,,0,14000,60,0,,,3,,
36,1,75,2,01,01,,,,,,1,0,0,0,0,,,,,
18,2,80,3,05,01,,,,,,2,0,0,0,0,,,,,
14,1,67,2,06,01,,,,,1,,0,12000,42,0,,,,,
13,1,28,1,12,01,16,,,,,2,0,0,0,0,5,1,6,,
28,2,27,2,10,01,16,,,,,2,0,0,0,0,,,6,,
09,1,12,1,05,01,24,,,,,2,0,0,0,0,,,6,,
29,2,23,2,12,09,32,,,,,2,0,0,0,0,,,5,,
02,2,27,1,13,01,12,,,,,1,0,0,0,0,5,1,6,,
27,2,55,2,12,01,,,,,,2,0,0,0,0,,,6,,
09,1,4,1,01,01,05,,,,,,0,0,0,0,,,,,
08,2,55,2,06,01,,,,,,1,0,0,0,0,,,6,,
23,2,5,1,01,01,23,,,,,2,0,0,0,0,,,,,
10,2,40,2,07,01,,,,,,2,0,0,0,0,,,6,,
05,2,63,3,01,01,,,,,,1,0,0,0,0,,,,,
01,2,27,2,10,01,12,21,01500,633,1,,0,3000,42,0,,,3,,
09,1,16,1,07,01,26,,,,,2,0,0,0,0,,,6,,
03,1,20,1,10,01,29,,,,,2,0,0,0,0,,,6,,
27,2,16,1,08,01,27,,,,,2,0,0,0,0,,,6,,
08,2,42,2,01,01,,,,,1,,0,0,54,0,,,6,,
10,2,3,1,04,01,05,,,,,,0,0,0,0,,,,,
28,1,9,1,05,01,24,,,,,2,0,0,0,0,,,,,
08,1,14,1,06,01,25,,,,,2,0,0,0,0,,,6,,
27,1,65,2,07,01,,,,,1,,0,16500,22,0,,,,,
13,1,20,1,10,01,31,,,,,2,0,0,0,0,,,6,,
24,2,20,1,10,01,14,,,,,2,0,0,0,0,,,6,,
06,2,18,1,11,10,42,,,,,2,0,0,0,0,,,6,,
19,2,65,2,01,01,,,,,1,,0,3200,21,0,,,,,
24,2,30,2,10,01,14,,,,,2,0,0,0,0,,,6,,
24,2,32,2,06,01,12,,,,,2,4200,0,27,0,,,6,,
09,2,28,2,08,01,14,,,,,2,0,0,0,0,,,3,,
19,2,50,2,07,01,,,,,1,,0,0,31,0,,,2,,
08,2,45,2,07,01,14,21,01112,611,1,,0,0,70,0,,,2,,
07,2,28,2,08,01,14,,,,,2,0,0,0,0,,,6,,
21,2,61,2,01,01,,51,41001,931,1,,0,0,16,0,,,,,
15,1,52,2,12,01,16,,,,1,,60000,0,35,0,,,4,,
36,1,32,2,13,03,12,,,,1,,32800,0,48,0,,,4,,
16,2,26,2,10,01,14,,,,,2,0,0,0,0,,,6,,
